UniqueCount	AmbigCount
3	0
3249	124
0	0
3	21
0	20
133	472
11	471
2	188
7	188
0	0
2180	45
54	57
51	0
649	14
2	39
0	39
0	241
2	241
115	3
34	1
0	122
0	122
0	0
444	11
0	0
1	757
0	757
0	40
0	40
0	40
0	0
44	1
675	13
125	4
0	0
6	0
330	9
1656	38
186	60
0	999
4	999
535	22
100	1
6	0
172	5
0	0
84	32
32	0
1	0
0	0
67	7
84	0
7686	8010
10	0
70	0
569	9
432	13
388	8
0	1
0	1
0	1
0	0
5	0
0	1
13	25
3	25
31	5
0	138
0	138
1	0
0	0
0	0
324	9
310	10
161	19
5	0
1	90
3	86
0	66
87	223
29	221
3	1
7	80
0	80
3	0
0	0
324	10
1	0
2128	45
4	0
884	36
30	2
326	11
116	474
8	474
361	14
0	41
15	42
0	39
0	39
0	41
24	84
7	85
91	6
514	16
76	3
306	4
0	606
0	611
0	550
0	545
58	3
50	271
0	179
0	269
0	0
0	0
212	8
1	4
32	1
0	0
86	0
24	847
27	875
104	876
235	10
0	0
42	243
0	241
133	57
95	12
91	2
1731	57
327	5
0	2
0	3
0	3
1	1
0	1
861	27
104	0
0	37
2	37
0	0
111	139
28	138
0	0
2	1435
0	1271
171	1439
0	0
0	0
1	0
0	146
52	146
258	11
0	0
56	1
3	0
402	18
0	0
96	1
0	12
0	13
255	7
213	4
0	0
14	0
415	14
0	0
30	0
0	0
0	0
195	1
1150	32
46	2
293	3876
0	3872
0	3
0	3
0	0
37	142
1	140
0	0
9	3
0	52
29	52
5079	148
1	0
13	0
153	2
1	0
0	0
0	10
21	25
1539	67
90	5
0	262
45	334
0	304
252	21
0	0
35	1
181	14
39	386
284	387
7	0
809	21
0	0
20	3
0	3
0	326
38	326
1	0
18	3
1	1
1	1
0	4
0	4
1269	45
87	151
0	145
201	2
597	12
117	3
0	0
1	0
161	7
747	22
231	264
2	260
233	5
0	2
6	0
0	955
126	957
39	0
0	0
0	0
3	0
14	0
584	14
0	225
0	141
0	150
59	235
690	27
10000	8078
0	2
1	0
21	160
0	159
4	1
551	24
0	0
0	193
0	207
0	195
0	209
473	10
459	17
424	20
272	792
7	787
2	4
154	9
780	16
20	0
1	10
0	10
0	0
541	18
127	1
0	52
0	136
152	141
13	1
94	36
1991	80
58	158
1	156
12	0
10	0
2433	67
2	560
71	560
1199	48
195	8
0	0
0	0
0	1251
6	1251
0	1220
156	5
0	1
0	1
0	1
619	14
30	0
1521	65
53	0
0	32
0	32
66	27
0	16
0	17
6	17
15	362
588	381
476	11
213	6
8	7
0	0
17	3
224	7
0	0
4	64
0	64
0	0
2	0
17	36
0	34
0	0
1	132
129	134
20	104
34	104
21	32
0	32
915	23
822	25
0	0
134	3
361	13
2632	67
22	1
6	1
0	268
91	271
483	14
5	14
2	14
9	1
9	0
250	9
0	0
4	0
1130	27
112	5
101	0
284	6
27	0
15	0
1	0
0	88
5	88
9	12
0	0
1	0
63	53
2125	1276
1	1241
1	13
21	14
423	7
8	62
10	62
0	158
0	158
78	0
0	0
53	1
125	1
0	0
0	0
0	44
6	44
706	21
802	16
0	3
0	0
0	300
0	300
19	1
457	13
156	20
0	0
17	0
14	0
0	189
0	127
1	189
0	59
15	66
0	65
10	10
148	2
0	0
459	8
16	0
0	0
247	6
465	16
0	186
0	186
94	6
0	0
459	13
1	12
0	10
0	12
150	7
209	8
0	0
604	20
123	46
4	0
4063	117
261	3
0	0
0	0
0	0
72	1
0	1
0	1
5	445
0	445
2093	80
40	2
5	243
5	248
0	247
566	17
0	0
13	1
0	2
336	8
0	100
0	97
0	100
0	96
0	15
6	15
0	2
1	2
129	1341
2	1180
25	1342
0	0
0	185
0	185
201	4
103	7
444	25
322	18
0	45
17	73
0	73
441	4
296	12
0	50
0	50
415	113
56	2
32	2
485	16
11	0
44	1
1232	29
426	9
0	0
1159	50
18	8
0	0
50	3
0	24
0	2
0	19
0	24
1690	50
747	25
5	0
155	4
0	0
5	37
0	37
317	11
0	0
350	10
0	720
0	720
299	9
52	2
607	18
13	0
423	7
5	0
495	16
79	8
0	0
1	0
0	163
40	164
999	18
1	0
429	9
327	15
116	241
59	241
3	0
145	2
484	6
39	0
358	8
16	1
1138	43
0	121
19	121
0	0
3	0
41	1
74	2
2320	55
13	34
0	34
0	0
19	337
3	337
10	0
109	4
171	457
19	454
283	10
420	19
177	2
71	0
251	3
0	0
6	158
113	159
760	31
362	8
0	0
0	0
0	0
654	19
10	0
104	9
994	163
2609	66
0	134
101	135
26	0
523	16
9	2
1	0
0	0
0	206
5	206
0	0
126	3
0	0
330	2030
7	2018
0	1
0	1
9	1
96	412
0	411
1767	74
42	1
0	43
1	43
150	7
1	46
167	55
0	386
584	400
724	931
2	902
0	0
0	358
25	359
0	414
3	414
192	207
121	202
515	13
1	1
2	6
1	6
544	17
7	0
310	8
0	0
76	1
108	2
1	0
392	8
0	0
21	1
329	11
234	4
0	244
0	155
0	202
0	260
18	5
13	0
8	5
220	7
0	41
3	37
2	41
5	1
3	0
361	9
14	0
43	20
0	0
1	0
1156	40
10	0
0	0
0	0
396	11
200	6
390	9
3	277
0	292
1	198
0	3
0	0
221	5
197	5
0	170
37	181
0	182
20	184
9	0
0	5
0	5
0	0
237	7
0	0
36	0
505	10
417	22
52	0
1	0
48	2
12	0
7	0
0	2
1285	23
95	2
26	1
77	166
0	163
147	1
405	10
2	0
216	5
0	0
0	0
591	20
148	7
155	5
4	1
4658	111
0	0
167	3
78	2
692	23
4	0
0	0
0	0
8	111
1	111
0	407
1	407
1257	23
351	9
0	0
233	10
0	0
23	0
33	3
0	5313
1	5313
0	0
122	1
9	49
0	48
0	0
489	8
2	1
189	4
410	9
46	662
0	655
471	16
2638	56
498	17
24	2
433	11
374	11
931	32
35	6
113	5
32	0
11	0
759	20
0	52
28	108
0	108
1	1
169	7
0	520
0	520
0	520
0	504
0	517
0	517
0	520
0	487
0	504
0	0
0	0
0	0
3439	113
78	3
0	0
229	982
76	980
33	29
184	8
18	11
414	13
72	3
191	4
0	0
18	0
0	0
0	105
39	105
0	0
483	18
22	1
230	139
121	7
559	731
201	5
0	0
39	0
414	18
59	49
0	0
1354	27
200	250
368	13
709	25
0	70
2	70
274	11
0	127
119	129
25	1
31	119
0	118
56	3
14	459
89	461
243	2
28	1780
0	1779
37	1
0	0
0	0
0	0
0	2
0	2
22	0
7	1
0	0
289	3
15	330
158	330
621	663
1	641
31	0
58	2
2	1
10	0
43	0
1	0
320	336
0	329
631	821
38	803
0	0
177	4
0	0
19	628
0	628
31	226
15	226
0	0
2	0
195	21
0	0
189	3
399	14
0	12
0	12
63	0
0	55
5	55
0	0
1	0
115	6
0	0
58	0
9	6
0	0
2	0
0	0
402	8
0	0
0	0
0	61
29	61
331	9
472	12
4	186
0	186
125	3
1476	42
3	154
0	151
0	137
0	132
139	3
5	10
5	0
0	0
347	13
20	5
1418	2966
240	6
1799	40
0	277
0	277
34	0
545	22
377	20
3	4
0	4
2300	195
22	0
0	0
1824	49
0	1404
92	1409
104	8
34	2
42	1
1309	35
148	4
439	15
155	4
8	0
122	986
43	984
48	3
5296	98
316	7
217	8
5	1
0	992
31	993
25	1
0	0
0	456
36	457
0	0
316	6
319	10
102	26
0	0
270	8
272	15
173	3
1	187
3	203
0	186
5	0
4	0
2	0
18	3
89	1
23	1
325	10
9	0
20	99
0	99
0	0
3	1
0	1
30	177
0	177
1622	42
3	158
0	104
0	117
2	166
1289	25
17	14
395	9
98	5
0	0
323	13
49	3
156	9
870	23
105	13
0	1233
344	1243
158	4
355	13
169	8
0	0
86	62
189	3
1	12
163	15
57	1
228	7
65	3
75	63
1306	40
0	0
367	15
0	0
0	0
45	0
0	88
68	89
71	0
577	16
1082	18
0	145
36	146
324	10
4	1
644	22
8	0
401	11
128	5
860	37
9	9
765	23
0	3
0	3
0	12
27	12
22	297
28	481
160	482
140	5
180	5
33	592
0	589
0	592
60	1
6	1
1	17
0	0
477	10
10	17
7	18
187	345
0	339
3	2
101	37
16	0
0	0
2232	53
0	0
0	4
1	4
243	18
429	11
41	21
0	0
49	1
1	0
4	2139
434	2550
0	0
30	2
0	0
8	0
7	0
0	108
0	72
5	110
0	72
213	10
0	0
422	13
0	1
413	16
0	0
1	298
0	298
76	1
838	30
0	4
0	3
0	4
2	1
0	0
143	4
271	15
36	0
50	1
36	0
133	5
387	11
0	293
0	293
135	6
18	0
22	15
227	2
0	0
247	6
3	0
405	9
10	0
321	14
596	13
1642	1700
0	1652
0	113
21	113
0	0
0	0
171	9
99	6
0	180
1	180
21	100
0	98
15	7
166	9
758	29
0	5
0	5
130	5
65	0
1	0
133	5
880	42
0	0
430	9
0	582
11	582
0	0
0	0
33	1
0	0
94	1
73	2
1	0
787	28
45	2
1017	29
98	3
63	0
99	1
15	8
12	14
0	0
307	13
19	0
2	0
162	9
73	2
122	3
315	10
245	4
15	5
4	1
423	20
0	81
29	81
701	5
15	0
39	0
0	0
7	4
0	4
119	0
3312	104
867	8
17	0
0	0
0	0
292	6
6	40
0	39
1	51
0	78
17	1
230	7
830	29
647	26
393	137
1	0
104	6
131	5
0	0
193	6
2	85
6	85
474	17
219	5
0	0
121	1
147	3
19	1
961	37
1	0
235	12
25	1
5	14
8	241
87	244
267	8
3	0
33	1
22	1
664	24
0	0
337	12
125	8
41	198
2	0
160	631
0	627
322	15
6	318
67	322
4060	120
134	3
0	0
2	48
0	41
0	51
0	46
0	52
57	63
179	63
35	0
44	109
0	109
42	1
75	9
116	4
900	32
0	0
138	2
0	0
5	59
2	59
174	3
138	1
2	1
633	23
33	226
31	229
22	1
70	2
38	1
826	22
67	0
19	151
2	149
15	1
0	2
33	86
173	3
0	98
4	98
43	2
1258	34
0	0
161	6
2	32
0	32
27	0
62	1
61	3
0	0
5	2
202	1
23	1
0	0
62	3
246	41
5	29
3	29
1092	29
0	0
1	0
27	0
4723	160
44	0
255	9
146	1
97	0
2	6
242	5
4382	136
0	1539
43	1539
0	34
64	36
61	4
415	13
2	0
1183	39
598	7
4	0
144	7
121	4
0	0
4557	149
445	16
0	0
18	0
0	0
1	0
659	21
19	2
47	150
0	150
189	8
17	0
64	122
0	122
1307	41
71	1
4	1
7	0
397	10
400	17
51	1
224	493
3	1176
1	0
388	10
0	0
0	11
5	11
273	82
425	17
0	0
0	0
0	90
11	90
0	0
2	0
0	0
19	8
257	313
0	310
697	22
661	7
2	0
311	11
0	3
1	3
1386	43
23	0
0	0
1	0
532	13
605	13
126	3
0	0
0	2
0	2
1067	725
496	25
38	1
116	3
0	0
1	0
416	15
4	0
140	3
533	10
41	1
673	2000
299	1997
1241	31
84	4
0	0
121	3
155	1
0	0
5	0
0	159
37	159
201	1266
7	1260
340	11
113	288
0	286
81	5
1268	34
0	0
0	10
0	11
78	6
1	0
476	19
78	11
31	2
5	747
286	749
66	2
152	7
545	16
0	674
287	678
0	460
18	460
640	21
0	21
0	0
21	2
0	0
32	1
0	0
0	0
56	3
223	6
15	4
150	2
0	0
119	230
0	0
2	0
515	8
0	6
2	6
37	0
32	63
93	369
9	368
478	8
139	5
24	0
92	1
0	63
0	63
0	0
0	0
8	0
125	21
128	3
181	8
2048	62
501	17
55	4
69	2
0	21
1	0
246	204
46	2
113	3
1	0
0	334
84	334
166	8
0	96
0	96
357	6
26	1
307	14
31	0
0	0
100	3
0	0
5	3
0	0
1332	34
31	445
0	444
0	0
29	1
1	20
0	20
441	15
207	36
0	0
4537	137
1571	47
264	6
0	0
0	3
174	5
2	0
291	21
0	48
0	48
0	0
143	6
0	0
8	0
14	1
253	11
607	32
211	12
0	0
4	0
341	10
85	4
12	41
75	1
3383	84
772	15
222	3
0	103
133	107
0	0
9	0
1	0
0	0
0	0
0	120
0	120
419	17
313	10
4	0
398	13
0	0
157	140
29	0
0	23
0	0
0	0
1	296
72	299
2161	31
17	0
37	1
6	1
2	0
0	0
19	1
0	0
0	0
483	23
137	3
47	2
0	0
452	7
69	0
1629	46
50	48
276	3
0	0
839	716
0	0
442	16
2058	67
507	23
0	0
92	73
0	0
22	636
4	537
74	639
0	0
0	0
12	0
0	0
401	17
0	0
1	115
73	115
4	1
372	12
0	0
193	4
12	544
0	544
0	0
300	4
163	27
0	0
0	0
4640	147
0	0
0	41
0	41
145	3
121	4
182	6
0	0
97	819
17	1111
16	1107
0	0
118	3
72	4
20	0
113	0
2	0
4	945
0	945
55	4
0	0
34	18
424	20
34	241
3	240
4	204
0	204
0	0
1	0
232	4
0	0
97	2
29	27
3	0
281	6
1	15
0	15
0	349
0	349
37	0
57	219
1522	43
4843	140
249	8
8	18
545	11
5	17
0	17
57	3
292	10
15	0
147	2
11	0
27	1079
0	936
8	888
5	708
5331	189
3541	128
0	653
0	653
3	293
4	293
200	3315
138	3314
0	0
427	7
7	45
39	47
40	4
6	89
22	3
325	8
188	11
959	28
25	2
1782	49
2797	93
0	10
1419	52
264	15
0	0
24	3
0	0
461	16
0	0
