Transcript,SRR27137980,SRR27137981,SRR27137982,SRR27137983,SRR27137984,SRR27137985,SRR27137986,SRR27137987,SRR27137988,SRR27137989,SRR27137990,SRR27137991,SRR27137992,SRR27137993,SRR27137994,SRR27137995,SRR27137996,SRR27137997
ESW13479,858.87,722.004,848.907,860.679,1191.22,962.276,815.499,1039.936,1194.971,837,845.391,951.763,766.007,985.082,852.031,1053.251,917.131,980.492
ESW11211,73,53,49.026,71,105.038,74,62.078,85.108,88,62,50,64.721,60.016,65.186,53,86,54.136,58.259
ESW14049,117,100.834,91.625,138.3,93.019,110,87.1,137.087,72,51,50,121.01,118.026,149.801,57,108.252,113.525,121.735
ESW14123,1,1,0,0,0,1,0,2,0,0,1,0,1,0,0,0,2,0
ESW13134,116.037,33.031,57.011,44,37,45.027,46.211,70.029,59.002,37,51,65,55.685,83.984,68.016,137.04,28.046,32.001
ESW13730,4.718,3.998,10,13.893,6,6,5,8,10,4,4,2,7.116,7,1,5,5.999,4.999
ESW11541,7,3,2,2,4,4,1,3,6.005,4,6,5,8,8,4,3,7,0
ESW12665,122,139.669,143.068,155.326,154.2,120.108,115,142.21,150.072,94,57,121.254,135.921,115.223,73.89,130.271,107.306,116.44
ESW11290,2012.695,1583.834,1996.318,1716.416,1707.558,2202.098,1592.22,1893.722,2112.279,1807.449,1494.728,1905.613,1717.84,2029.494,1691.02,2314.854,1586.472,1829.81
ESW11846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW13587,0,1,0,0,1,1,2,0,3,4,3,0,0,0,0,0,0,1
ESW11251,2375.654,2123.461,2502.044,2175.502,2296.625,2389.483,2171.682,3092.3,3221.268,2441.384,2344.644,2795.921,2700.895,2843.337,2147.549,2684.828,2571.414,2912.092
ESW13693,244.442,207.724,236.441,240.886,185.077,240.899,160.69,262.664,180.718,161.829,127.13,232.657,207.288,209.155,111.508,214.269,212.028,223.341
ESW12913,68.433,18,57.066,28,47.001,35.006,43.001,81.003,125.975,72,69,55,65.848,62.048,55.269,83,53.008,86.054
ESW11186,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
ESW11272,1426.775,939.791,1428.967,909.836,1238.585,1040.46,683.596,2098.391,806.365,513.421,560.006,1356,1247.623,1516.209,834,1457.121,1988.817,2067.847
ESW11899,4,2,0,2,4,5,3,6,1,2,2,5,1,1,4,3,4,9
ESW14091,97,112,96,174,267,118.019,109,139.539,129,109,149,155,126,150,180,173,148,191.068
ESW13988,322.184,265.973,352.657,257.072,311.028,284.624,275.427,297,497.503,391,406.426,383.707,315.983,424.161,395.566,434.106,272.056,344.092
ESW11387,2579.578,2176.393,2342.106,1714.461,2580.272,1349.334,1819.3,2840.053,2046.422,1775.353,1717.448,2424.751,2266.892,2425.973,1744.476,2580.035,2229.946,2720.848
ESW11231,106,97.31,109.734,103.267,75.233,147.157,94.12,136.758,124,111,95,111.418,120.294,138.737,74,105.501,101.83,73.481
ESW11923,459.089,418.275,489.603,419.592,335.85,531.598,357.728,572.102,421.462,323.625,299,468.445,446.061,477.118,314.276,513.233,433.943,522.376
ESW12023,5,3,5,6,4,2,5,6,3,2,3,2,2,2,6,3,2,3
ESW12206,2,1,1,2,7,1,2,3,3,4,3,1,4,3,2,2,2,6
ESW12344,160.045,119.607,157.334,126.753,190.48,158.647,146.044,195.401,194.579,131.501,141.895,233.187,184.329,196.259,118.055,203.191,181.872,179.227
ESW11089,1513.999,1246.691,1443.126,1340.786,1278.42,1697.124,1228.48,1747.685,1695.279,1297.818,1171.125,1531.906,1406.291,1583.166,1222.269,1658.079,1397.517,1525.314
ESW11857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW12826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW12999,58.429,35.153,39.382,20.833,65.704,28.837,21.116,33.056,44.61,23.256,40.635,19.25,37.126,29.14,11.783,25.904,31.082,30.938
ESW12998,94.571,88.202,91.639,76.301,53.368,87.326,85.267,74.354,126.625,111.962,68.365,92.262,84.615,104.629,78.284,93.136,70.389,50.414
ESW13743,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
ESW12328,48.59,47.308,41.887,43.269,53,73.895,37.078,57,56.972,55.064,41.108,38.859,52.043,42.086,37.291,54.192,49.99,55.12
ESW12329,2.41,4.692,10.467,4.992,0,0,0,0,0,4.96,3.892,0,0,0,12.709,4.808,0,3.903
ESW12755,9,16,14.001,22,11,18.456,9,21.001,24,12,8,16,12,16.989,14,14,14,11.007
ESW13347,165,108.466,147.565,146.391,166.065,108.682,94.613,166.196,119.13,97,110,137.201,130.672,150.611,93.05,164.116,125.368,158.907
ESW12458,467.536,290.214,356.125,311.677,314.39,309.709,234.444,399.659,223.099,183,195,387.934,304.707,389.541,150.401,407.512,331.193,420.3
ESW11850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW13538,77.876,42.624,39.694,50.468,26.982,47.697,33.065,47.676,35.261,34.973,39.463,42.041,27.572,36.928,16.535,55.149,39.778,36.071
ESW13537,82.095,49.736,81.095,70.539,123.771,91.535,64.699,65.908,112.948,90.667,81.765,84.387,77.393,97.046,75.733,87.823,83.373,65.796
ESW11148,38.433,24.133,43.845,32.936,18.992,57.937,16.427,46.427,19.687,26.788,27.936,42.308,33.352,33.573,25.741,37.552,35.51,30.198
ESW12280,6,2.001,4,4,5,11,10,4.014,13.057,10,4,18,4,10,12,16,3.001,6
ESW11952,88.585,79.101,88.413,90.531,139.152,131.001,100.8,112.497,130.448,136,103,115.473,97.116,118.085,110.23,115.972,72.016,88.98
ESW12080,27,25,35,28.233,23.05,59.925,34.101,36,34.472,25,23,49.173,46.622,50.035,21,35.059,35.046,43.152
ESW13080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
