Transcript,SRR27137980,SRR27137981,SRR27137982,SRR27137983,SRR27137984,SRR27137985,SRR27137986,SRR27137987,SRR27137988,SRR27137989,SRR27137990,SRR27137991,SRR27137992,SRR27137993,SRR27137994,SRR27137995,SRR27137996,SRR27137997
ESW11712,13,3.008,5.002,3,20,15,4.804,8,7,9,13,16,9.014,9.001,13,11,6,10.004
ESW12594,3199.701,3134.323,3387.32,3336.503,2527.126,3933.361,2929.316,3958.234,3497.206,2724.437,2369.724,3882.001,3517.719,4017.179,2334.424,3440.222,3460.515,3977.744
ESW14289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW12006,13.107,10.669,11.579,4.664,17.553,13.222,8.706,21.945,10.322,14.905,9.724,11.955,16.658,13.312,17.546,20.489,13.142,4.196
ESW12005,24.743,19.802,24.321,15.815,28.898,12.78,10.294,14.962,11.448,18.569,9.276,24.507,4.569,22.31,29.454,24.606,10.752,15.382
ESW11618,507.754,463.086,563.944,506.134,656.904,558.665,447.734,548.79,575.35,298.373,489.431,608.925,463.972,584.562,558.655,577.541,445.948,608.631
ESW11617,122.687,77.283,62.346,101.19,79.272,85.253,75.221,101.2,62.252,143.627,23.569,101.248,91.373,145.5,78.345,135.736,95.837,103.042
ESW13318,179.023,109.644,171.403,120.431,156,108.339,132.921,161.898,144.277,104.649,86.052,165.327,120.023,147.156,95.713,105.226,117.819,181.312
ESW13317,81.709,86.408,81.311,70.099,99.166,90.867,39.901,87.387,89.852,36.351,61.903,66.327,62.984,116.976,57.287,124.02,101.431,68.519
ESW12664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW14375,2132.791,1980.052,2283.948,2198.875,3104.56,2669.799,2122.469,2884.138,2311.616,1722.553,2446.82,3279.715,2867.592,3756.303,1666.08,2367.764,2994.617,3721.955
ESW12901,234.223,121.367,250.749,108.098,136.28,805.432,548.837,186.45,843.972,776.917,644.891,489.447,447.776,547.467,624.81,588.669,311.49,281.453
ESW14256,30,49.261,42.02,51,79.641,69.384,50,63,126.217,69,67,43,51.084,66.575,34,47,56.696,98.073
ESW14432,771.853,550.001,712.373,653.246,751.279,856.122,624.943,807.757,910.39,709.101,638.955,808.618,686.121,879.978,539.277,755.82,703.675,786.664
ESW12419,0,1.621,0,3.904,1.632,4.499,0,5.87,1.651,0,1.657,0,0,0,0,0,0,1.781
ESW12418,34.003,25.379,18,35.177,23.39,20.524,13,37.271,15.349,11,13.42,16.009,22,13.001,16,27.846,19,25.16
ESW13322,286.893,224.082,334.609,227.762,420.996,350.569,273.7,264.418,367.467,255.928,363.521,470.251,360.081,449.412,414.699,464.494,341.127,421.552
ESW13323,17.127,24.459,24.533,10.425,23.835,17.003,0,33.601,17.036,17.072,17.479,17.058,17.327,63.316,24.444,17.296,17.322,17.148
ESW11627,153.332,97.055,140.224,115.594,147.967,192.507,123.531,161.688,242,150,159,186.93,180.443,203.44,166,193.889,147.771,168.727
ESW12205,40.002,34.004,43.058,34.002,50.002,36.921,30.008,63.133,31.006,25,25,38,32.604,40.186,19,36,37.037,53.066
ESW11805,144.138,119.742,151.427,117.279,118.442,138.371,91.36,121.755,150.153,91.002,104.011,157.982,114.606,143.372,119.822,157.011,130.173,130.986
ESW11804,4.102,4.028,0,0,0,4.118,10.895,17.702,0,10.998,0,4.044,25.283,4.044,4.178,0,0,18.089
ESW13844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW11294,601.469,419.559,477.668,449.793,571.972,559.433,452.493,491.399,683.009,518,506.782,524.8,466.529,487.404,504.485,653.279,449.201,528.148
ESW12518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW13559,8.449,2.103,20.842,2.148,11.52,11.382,18.193,8.4,11.249,2.177,5.14,8.11,5.35,7.71,8.269,2.083,2.093,0
ESW13558,925.091,782.186,880.714,723.723,882.648,798.103,637.773,723.148,789.989,698.045,551.809,784.427,711.194,876.265,665.31,959.404,682.421,757.453
ESW11548,63.212,38.41,46.196,37.227,82.2,50.11,57.463,58.969,85.913,79.313,98.15,61.715,51.997,92.345,117.434,71.445,41.418,40.327
ESW11549,17.621,0,12.048,0,18.077,5.266,18.542,5.114,52.401,4.637,2.85,16.836,18.084,0,24.53,40.442,4.573,0
ESW11547,6.167,1.663,6.756,0,2.449,2.9,0,2.917,5.711,3.05,0,2.453,2.44,16.97,2.419,2.377,3.029,3.673
ESW13719,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
ESW13986,81,56.004,66.009,44.407,138.93,81.164,62.967,101.088,106.35,78,82,76.077,78.099,73.292,84.183,90,110.624,79.133
ESW14365,688.314,696.166,904.189,679.304,372.438,924.525,707.952,973.755,1036.391,870,651.742,967.289,932.122,1145.359,621.012,774.048,826.841,1015.537
ESW11705,144.684,126.209,109.349,126.814,107.07,189.059,155.364,149.342,126.617,117.27,86,158,129.268,150.153,75.893,132.002,125.242,149.29
ESW13411,1,1,2,0,0,0,0,1,2,1,0,2,0,1,0,2,1,1
ESW12103,7,5,4,6,3,7,7,6,0,2.001,2,6,11,2,1,1,7,4
ESW13834,416.347,323.191,342.01,331.763,310.432,370.973,312.911,445.142,406.173,344,288,421.403,382.12,451.028,307.256,480.465,349.985,373.894
ESW11690,1773.458,1602.33,1797.963,1670.788,1849.611,1586.147,1607.073,2132.728,2304.479,1835.235,1766.093,2042.235,1795.179,2121.533,2005.998,2393.305,1693.856,1909.617
ESW12611,226.716,244.462,245,236.209,332.771,131.271,113.339,182.78,247.047,155.472,276.072,266.539,173.453,280.726,258.346,309.904,206.493,202.704
ESW12581,815.677,840.124,866.655,961.079,1105.585,1378.952,1153.65,1114.011,2269.642,1559.841,1435.197,1040.124,901.168,1126.41,1502.618,1278.808,941.346,1105.853
ESW12582,3.467,20.343,20.387,20.462,84.529,70.736,72.096,25.934,66.746,26.263,14.806,31.803,54.868,20.342,9.219,36.455,59.506,25.952
ESW14364,507.881,449.404,465.921,545.785,531.499,470.645,311.474,453.225,367.405,324.162,321.521,439.372,395.841,440.808,437.08,555.567,366.868,390.007
ESW12272,336.329,182.768,325.282,100.101,220.087,386.926,346.518,153.611,273.517,276.036,214,270.58,216.514,284.346,298,409.252,157.341,213.9
ESW11631,4,4,0,6,4.001,12,1,5,5,2,3,10.942,7.013,8.001,5,5,1,5
ESW11788,237.994,143.805,206.015,174.139,132.381,236.327,156.517,189.648,153.69,128.157,89,179.591,165.972,173.782,90.27,202.082,150.782,170.76
ESW12792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW14071,73.571,96.667,151.272,104.576,77.203,119.751,65.601,115.708,142.798,131.025,121.798,200.934,172.606,194.991,121.689,113.852,142.987,199.509
ESW14092,28,27,36.012,32,56,18.033,24,30,29.014,16,20.068,34.013,27.003,29.05,29,40.083,23,38
ESW12570,1,0,0,1,1,2,0,0,0,1,1,1,1,0,0,1,0,0
ESW13816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW11762,90.169,73.44,64.656,68.057,69.386,67.061,55.566,48.219,91.8,73.915,70,59.985,62.337,67.779,58.002,95.099,44.805,76.764
ESW12129,103.288,76.117,92.008,84,88,88.793,52.04,201.079,87.54,85.081,77,102.565,96.308,84.609,108,161.684,170.714,112.086
ESW14441,8888.608,9434.381,9791.661,11003.82,9797.135,9697.366,7415.204,11812.141,9146.559,6847.777,5856.105,8990.826,8654.249,9033.682,6218.306,9196.8,9149.332,10823.455
ESW13499,17,10,11,10,31,23,16,12.047,451.575,442,276,16.055,32.132,11,166.006,105.112,14.003,13.001
ESW14336,66.213,55.227,70,70,127.075,44.029,36,49.066,37,32,27,40.064,38.023,59.902,57,62,47.113,42.985
ESW14506,689.482,495.957,578.893,573.604,540.349,656.978,542.177,710.03,656.16,525.655,460,634.183,613.663,654.177,520.941,700.19,568.451,673.467
ESW13476,530.689,460.702,459.263,435.85,456.726,497.862,442.455,546.762,535.018,441.831,396.086,530.753,485.179,529.111,391.369,581.162,488.821,507.421
ESW13748,534.57,413.743,522.113,389.548,408.901,476.546,472.275,496.439,578.112,431.071,426.209,545.564,486.792,605.813,392.054,573.813,423.607,466.141
ESW12203,5,1.003,6,1,0,0,1,3,0,0,0,1,0,0,3,0,0,2
ESW12202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ESW12201,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ESW11957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW13260,3,4,0,5,6,1,2,3,0,0,0,2,2,1,1,2,3,1
ESW12070,3.303,0,0,0,2.336,2.26,0,2.119,5.826,0,2.369,0,1.062,0,1.073,2.053,0,0
ESW12345,16.027,13.694,34,23.705,40,38.832,10.194,14.81,18.561,13,10.804,16.997,13.665,36,6.311,18.785,19.771,24
ESW12346,8.973,13.315,0,16.342,0,2.168,6.993,25.19,8.439,0,11.196,11.091,13.352,0,17.699,18.215,5.259,0
ESW12248,40.999,34.273,26.537,33.727,31.772,62.697,40.84,65.49,59.507,72.748,34.61,41.302,36.056,47.32,23.672,40.889,71.982,81.252
ESW13116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.533,0,0
ESW13117,181,140.369,143.23,135.157,222.114,192.074,144.347,156.44,199.712,125,169,172.456,163.232,178.086,173.184,31.896,152.944,170.357
ESW12824,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
ESW12882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW14069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW13244,369.123,227.207,208.691,330.108,405.046,309.95,270.36,183.321,277.216,235,237.451,201.736,197.436,216.791,347.172,377.375,149.49,196.673
ESW13750,285.279,230.235,193.965,311.827,241.558,321.641,317.483,311.546,406.959,360.072,278,265.356,274.978,283.75,348.923,393.088,249.93,269.598
ESW12827,184.825,167.437,165.106,170.154,173.069,188.463,145.998,225.238,173.876,121.222,123.264,200.228,172.264,217.558,178.11,207.623,166.474,215.766
ESW12889,3,2,3,5,1,2,2,3,1,1,0,1,3,3.004,0,3,1,2
ESW11553,0,27.216,14.018,59.907,15.554,32.093,15.873,37.33,0,56.589,0,21.138,0,23.11,57.727,30.769,16.928,13.118
ESW11552,44.2,32.824,36.324,33.065,22.297,56.538,46.596,16.66,37.864,6.65,25.823,44.905,62.293,31.418,0,24.774,24.93,46.078
ESW11551,47.8,26.673,46.842,0,26.149,37.467,32.617,66.921,71.35,25.762,28.177,53.211,47.044,42.015,20.273,62.539,52.171,46.842
ESW14172,175.333,166.206,173.257,185.77,170.788,150.871,102.513,183.342,150.166,107.634,113.223,167.151,134.978,144.271,122.093,208.651,124.047,112.559
ESW14173,223.244,151.941,137.13,147.986,169.494,134.191,115.991,204.59,145.464,123.366,87.868,172.007,150.119,179.733,83.087,202.886,162.339,169.457
ESW14390,6,1,4,3.999,10,0,1,2,1,0,4,2,1,2,3,4.606,2,5
ESW11150,88,62.216,63.014,86.055,67.327,57.704,46.355,110.875,62.109,51.602,48.316,66.709,79.433,65.683,48,103.854,77.11,58.1
ESW11151,0,4.952,0,0,0,60.094,15.832,0,0,3.398,9.663,6.375,6.588,16.518,0,0,0,0
ESW12806,1,2,3,3,1,6,2,6,6,3,0,7,6,7,1,1,6,2
ESW13184,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ESW13419,363.183,281.091,350.41,328.36,318.282,326.144,305.94,376.612,332.918,273.086,267.555,399.07,354.642,408.755,261.837,374.416,302.708,341.732
ESW13160,23,6,9,1,15,10,0,9,6,1,2,5,8,12.093,4,10,3,3
ESW14512,920.06,1478.363,877.532,2148.307,1430.332,652.206,641.972,1988.07,278.042,195,321.08,821.413,795.238,836.122,276.122,800.709,820.862,849.884
ESW14370,4,1,2,4,1,3,2,2,1,2,1,2,1,4,2,0,3,4
ESW13661,980.664,789.88,1030.19,906.756,710.062,1050.295,875.541,968.709,1107.872,799.814,781.504,881.751,783.804,908.524,598.572,958.21,903.041,1048.309
ESW13388,19,34.092,22.07,30.046,15,25.155,14,49,10.01,8,17,26.108,27,20,11,18.005,44.014,31.005
ESW13185,341.446,325.862,435.377,329.907,641.652,432.905,329.428,520.11,474.241,383.13,469.487,546.95,543.952,603.015,406.08,463.829,538.806,640.634
ESW14215,631.089,516.305,566.025,564.741,621.495,521.088,503.385,682.732,704.437,566.074,488.458,700.554,610.775,665.817,543.5,799.784,595.315,690.881
ESW14214,43.439,29.115,34.191,23.289,58.871,21.748,29.983,43.312,48.833,22.164,25.542,22.326,35.27,33.447,39.992,27.493,34.434,29.13
ESW14264,451.74,352.164,534.065,363.426,603.781,488.005,376.285,543.294,722.311,499.3,513.917,679.065,560.94,679.504,529.707,575.057,517.187,594.75
ESW12538,1.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.105,0
ESW12534,16.163,14.39,14.081,18.796,16.721,12.292,13.108,26.962,11.818,9.258,5.769,15.472,16.284,13.673,5.398,28.178,8.732,18.26
ESW12533,0,0,0,0,0,0,0,0,0,0,2.124,0,0,5.806,0,4.893,0,0
ESW12536,28.048,19.888,30.995,17.701,20.926,11.497,20.795,25.809,33.823,31.698,24.495,31.947,20.93,30.003,30.004,34.37,23.485,27.01
ESW12535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW14159,84.141,73.759,64.239,63.049,53.069,69.999,32.667,62.164,60.152,56.02,56.576,67.306,78.643,65.249,28.648,68.276,39.27,58.212
ESW14158,10.493,6.724,35.136,22.13,25.31,14.17,21.932,29.372,4.076,2.374,1.945,11.322,13.172,21.172,3.598,13.203,31.454,19.434
ESW13011,156.75,85.089,105.511,96.835,129.249,128.853,113.195,120.927,105.954,77.822,80.856,123.842,124.911,130.984,59.84,131.24,90.977,96.806
ESW12207,484.998,450.451,583.148,521.874,617.034,550.721,418.877,571.718,618.616,492.265,511.751,535.094,485.774,595.539,451.749,625.832,583.879,671.921
ESW12455,64,78.888,61,76.384,85.096,44.001,32.048,91.121,37.032,18,22,53.027,35.057,48.04,45.025,63,51.33,61.091
ESW12132,332.382,238.296,273.505,307.094,182.917,469.335,297.777,455.643,205.083,139,104,332.515,308.345,343.114,120,276.151,339.899,368.851
ESW12605,0,0,0,0,148.26,0,72.597,0,81.129,0,0,0,0,0,0,0,0,0
ESW12602,341.449,359.169,309.447,210.457,251.899,255.068,319.763,387.712,301.639,356.504,258.099,357.349,292.786,364.537,343.527,435.204,299.58,356.059
ESW12603,614.689,369.532,506.466,303.126,437.344,230.362,464.715,572,470.524,379.255,524.962,429.891,505.013,528.626,526.142,680.428,389.132,526.157
ESW12604,88.721,193.989,106.906,83.791,0,309.154,0,147.037,184.355,159.66,66.138,202.631,220.947,164.756,111.961,200.794,128.308,165.534
ESW11893,72.03,58.292,46.278,58.264,74.066,87.857,61.822,79.263,83,67,50.153,71.231,58.741,74.839,74.136,82.209,46.174,52.546
ESW14351,206.764,160.082,170.39,178.553,192.52,180.871,161.688,267.042,210.854,225.732,179.675,268.737,262.019,203.011,164.114,229.465,116.903,148.174
ESW14352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.771,0,3.527,3.923
ESW14353,160.409,126.252,105.862,137.81,160.334,126.483,141.478,226.816,232.218,161.273,138.447,164.109,169.515,199.138,207.538,228.643,157.109,186.974
ESW11604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW11603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW14456,194,222.246,220.72,214.516,166.096,267.993,188.742,233.064,272.175,178,202.019,260.423,217.369,233.591,208.619,260.274,208.328,231.491
ESW13149,3.181,1,1.001,1,8.204,2.086,1,3.113,0,0,1,0,1.995,2.041,1,0,1.013,2.006
ESW14305,33,30.072,30,32.411,32.042,23,24.01,49,28,42,31,39.661,32,40,21,25,40,36.01
ESW12400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW11164,118,97,114,86,102.729,130.145,91.62,118.547,103.181,83,73,105.984,100.997,133.03,68.211,128.172,115.202,117.375
ESW11700,129.936,110.343,127.067,142.751,300.871,195.713,140.912,238.827,113.868,72.005,92.089,169.151,157.237,284.614,121.086,116.78,211.2,195.576
ESW11701,316.996,263.147,379.601,297.727,431.097,253.784,152.523,332.76,370.862,288.646,306.737,388.34,236.721,312.264,213.206,279.264,329.674,526.75
ESW11702,587.407,638.588,1049.972,580.425,722.685,613.312,483.825,754.801,1020.971,653.155,764.979,767.46,853.444,969.341,518.702,819.405,902.967,1131.018
ESW12324,206.032,209.678,194.527,237.407,213.246,223.011,174.808,262.596,243.235,200,198.177,258.156,233.767,254.145,227.097,245.375,205.341,241.507
ESW13690,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
ESW14015,82.361,74.878,68.915,79.134,68.333,67.612,48.945,79.561,68.59,52.797,54.694,74.988,74.122,87.053,56.652,82.993,54.453,62.144
ESW14014,161.944,170.177,166.176,201.067,183.497,193.567,142.273,201.727,194.94,154.203,145.306,224.383,183.525,177.96,156.348,182.295,171.69,239.857
ESW11610,429.144,180.548,321.34,172.785,576.231,356.977,359.563,263.354,329.634,274.677,300.637,299.833,243.803,403.04,333.306,404.542,252.106,227.2
ESW12657,134.041,103.806,139.304,98.062,150.283,171.915,111.179,109.41,186.876,158.466,146.7,145.292,115.207,138.126,122.527,169.904,90.887,105.184
ESW13911,48,67.478,86.458,91.486,66.046,49.044,20,113.484,6,3,3,36.571,27.004,39.281,9,34,73.181,82.102
ESW14571,1927.896,1718.337,1969.384,1756.718,2346.632,1751.945,1531.817,2032.017,2970.778,2409.619,2261.35,2113.955,1874.634,2248.102,2199.087,2503.524,1729.804,1972.788
ESW14105,316.374,274.687,327.441,327.573,246.001,443.877,296.101,316.895,388.186,327,221.187,395.39,346.19,363.123,235.036,333.144,289.005,359.925
ESW13143,0.734,1.621,0,0,0,2,0,0,0,0.728,0,1.867,0,0,0,0,2,0.755
ESW13142,1.266,2.379,0,0,0,0,0,0,0,1.272,0,1.133,0,0,0,2.923,0,1.245
ESW13147,0,0,2,3,3,0,0,0,2,0,0,0,0,0,0,2.077,0,0
ESW11813,1.001,2,0,2,0,3,0,3,4,0,0,0,0,1.001,0,4,2,0
ESW11814,0,0,2.003,0,0,0,1,0,0,0,3,2,0,0,3,0,0,0
ESW13362,682.601,705.971,777.408,873.098,578.552,637.756,532.047,1003.824,584.084,455.995,416.616,713.307,714.368,760.515,491.721,733.779,811.336,983.066
ESW11223,94,95.043,131.082,104,80.083,141.126,78.155,161.471,252.153,159,162,165.403,143.194,218.376,159.059,152,120.002,105.199
ESW11248,35,29.6,25.621,33.856,18.346,29.091,17,36.125,47.022,14.274,22,29.092,20.866,26.049,14.86,40.45,24.98,31.45
ESW11249,0,7.4,7.379,5.144,4.654,1.909,0,9.875,1.978,4.726,0,1.908,5.006,4.951,2.145,4.556,0,4.55
ESW14297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW11312,135.132,131.578,132.108,179.996,100.322,148.463,124.294,225.295,115.506,114.603,77.489,128.3,145.652,153.229,90.41,137.628,137.164,156.061
ESW11311,96.961,63.47,65.475,96.952,47.037,72.572,53.047,135.687,66.494,61.397,39.511,57.767,53.932,68.497,21.596,64.415,82.576,90.216
ESW12226,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.002,0
ESW11971,0,0,0,30.027,7.409,0,7.107,6.778,0,17.725,39.041,31.831,0,34.271,0,22.576,21.953,20.531
ESW11972,950.336,727.867,787.868,816.075,894.952,914.375,598.837,814.755,741.524,722.534,640.764,768.062,726.817,955.797,594.61,937.859,954.5,780.731
ESW11970,1644.949,1365.132,1616.817,734.627,1052.022,850.996,1592.275,1795.943,1916.225,1480.088,1385.206,2082,1875.803,2006.96,1551.583,1830.961,1407.552,1869.437
ESW11325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ESW12412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW11436,1,3,0,1,1,1,0,0,2,1,1,2.634,1.988,3,1,1,0,2
ESW13401,88.978,75.196,41.51,90.678,54.776,50.234,47.903,97.067,57.436,53.547,40.02,99.9,66.63,116.91,46.045,80.099,82.487,100.213
ESW13402,107.784,88.862,163.819,106.328,122.478,156.188,121.373,201.176,116.359,111.453,93.98,125.147,167.913,141.9,89.955,156.192,164.194,165.076
ESW12935,212,169.691,137.282,260.4,150.143,224.602,182.953,310.16,98,87,68,167.99,172.84,150.443,72,178.492,188.408,196.736
ESW13193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW14166,54,45.034,39,56.017,54,45.22,45.023,79.227,27,28,21,48,37.02,45.007,23,46,41.167,48.109
ESW11119,4,1,0,3,1,1,0,2,0,1,0,1,2,0,1,0,2,0
ESW12856,962.901,476.88,826.499,410.638,712.383,722.221,506.104,573.705,765.733,609.114,592.886,676.301,557.011,690.543,744.511,1048.828,815.271,740.862
ESW13301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW14088,77,69.007,94.64,96.009,70.004,87.028,66.026,202.176,37,27,42,89.023,75.022,83.078,31,65,171.005,183.094
ESW11766,1,10.772,2.719,12,9.766,1.654,7.471,7,2,1,3,0,2.004,0,4,1.645,8.768,8.904
ESW11765,0,1.228,1.281,0,1.234,1.346,1.529,0,0,0,0,2,0,2,0,1.355,1.232,1.23
ESW11496,305.161,288.604,257.756,257.196,219.146,270.119,190.646,317.047,211.404,222.181,168,259.01,263.612,244.116,189.807,292.825,268.147,287.419
ESW14424,190.362,188.099,264.274,213.639,387.987,174,143.086,174.001,216.133,192,205.098,171.071,179.255,189.728,278,344.264,201.871,210.361
ESW13456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW13995,12.005,19,20,14,17,32,16,32.009,29.02,15,14,31.045,18.829,22.038,8,21,20,28
ESW13233,584.661,467.803,525.035,419.244,423.492,450.352,370.788,622.511,449.236,351.134,286.094,527.348,459.276,548.327,385.954,630.511,494.666,443.661
ESW12632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW13940,79.008,20.012,43.629,30,20,93.213,60.389,52,46.125,38,20,46,35.698,50.057,24,64,46.806,48.109
ESW11457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW11458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW11513,247.375,179.615,220.087,195.7,224.199,165.849,145.205,213.35,129.281,102,119.045,183.026,159.252,173.019,151,236.545,194.224,188.604
ESW13487,1120.937,1063.197,943.708,1164.515,810.987,1032.404,754.8,1327.182,702.31,653.112,514,1100.234,940.726,1129.911,642.084,1133.776,1005.343,1004.076
ESW13675,65,48.012,62,46.006,87.986,89.263,61.125,64,55,44,42.088,79.804,72.158,90.003,55,70,77.158,72.644
ESW11363,1618.502,999.638,1489.974,1141.203,2111.802,1691.132,962.348,1187.214,2450.586,1557.895,1739.348,1378.461,1341.958,1702.93,1798.77,1925.326,1145.809,1131.066
ESW11364,3103.674,3134.214,3786.3,2984.162,2538.76,2127.086,2025.521,3705.589,3927.97,3433.526,3191.743,3347.729,3197.668,3509.067,4014.804,4596.999,3367.865,4083.087
ESW12812,0,0,1,3,2,1,2,0,0,1,0,1,0,0,0,1,0,0
ESW12810,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESW13974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ESW13775,254.057,162.662,239.651,170.659,207.564,148.092,125.429,130.407,195.37,154.091,180,129.435,121.481,139.152,199,239.812,107.939,128.529
ESW13774,0,8.499,7.871,2.197,7.824,2.36,1.865,0,7.947,0,0,3.847,0,13.039,0,2.236,2.487,2.212
ESW13460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW12848,14.998,12.203,4.82,11.9,18.998,6,8.555,16.697,8.747,11.948,11.864,12.612,10.824,10.664,7.999,17.219,14.835,9.023
ESW11165,38.134,25.082,17.448,16.501,0,8.462,0,15.641,0,0,0,16.049,0,6.869,23.865,29.708,6.782,0
ESW11166,37.892,31.097,47.955,62.592,82.005,46.538,37,70.721,8,7,10,27.951,49.276,29.368,25.135,26.292,79.324,63.674
ESW13779,5443.717,4729.08,3894.27,5179.427,8747.186,12121.44,10083.059,9195.676,6706.079,4866.42,5717.036,10878.339,8922.849,11382.333,5643.265,6809.522,8387.642,10258.576
ESW13979,0,1,1,1,0,2,0,1,3,1,0,0,1,0,2,0,3,1
ESW11522,37.019,17.079,11,13,24.004,27,15.209,28,24.012,4,13.963,32,21.008,29.901,16,26,24.188,9
ESW11629,164,162.296,147.616,154.03,164.256,128.559,123.412,177.29,171.922,142.024,97,162.031,160.03,148.012,134,166.056,136.806,165.996
ESW13794,1,0,1,1,4,0,0,2,1.001,0,2,0,1,0,0,1,0,1
ESW13269,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
ESW12627,0,1.001,4.54,0,2.005,0,0,2.005,0,0,1.001,0,0,0,0,0,1.468,4.818
ESW13425,41.899,40.319,60.8,33.504,48.626,19.02,31.611,66.265,61.891,45.091,60.179,87.098,67.806,93.453,45.47,76.731,80.121,102.241
ESW13205,1571.333,1381.231,1430.073,1583.048,1535.269,1754.578,1246.514,1641.269,1583.351,1180,1168,1578.751,1385.751,1537.457,1188.481,1658.33,1283.381,1460.114
ESW12804,28,76.126,67.967,91.23,22,55.323,45.461,105.659,5.001,2,7,30.795,18.02,20.008,9,16,114.567,58.199
ESW12140,0,0,0,0,0,0,0,2.417,0,0,0,0,2.186,0,0,0,0,0
ESW12139,419.483,188.306,270.174,271.841,737.878,167.997,125.812,285.37,69,52.075,153.432,191.599,156.737,216.238,75.733,352.619,76.132,122.663
ESW12138,44.913,121.762,122.949,103.539,145.535,0,14.215,250.929,0,0,0,68.98,97.304,53.249,40.306,45.278,97.482,91.028
ESW13063,348.728,291.418,324.434,260.046,237.811,336.049,303.637,424.739,321.738,244.473,188.217,408.021,323.255,381.86,193.86,305.531,340.869,420.394
ESW13330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW12384,36,35.85,32.434,35.078,39,31,37.99,23,35,23,36,35,31.005,47,51,52,29,12.02
ESW12829,160.18,124.724,144.406,187.645,147.269,148.937,130.54,171.88,118.781,102.321,96.399,151.504,133.973,134.125,144.046,172.576,137.991,176.129
ESW11481,178.227,111.016,157.626,100.579,187.294,112.369,147.675,101.43,260.767,148.177,172.502,159.795,142.756,171.254,196.909,256.003,96.831,156.23
ESW11480,1059.892,650.215,694.682,605.639,797.163,562.235,550.524,754.261,771.184,656.823,689.51,742.605,605.043,755.813,644.53,978.266,579.679,683.113
ESW13497,7,3,3,7,4,5,9,16,0,0,0,8,15,4,0,11,7,12
ESW11792,767.8,734.557,780.646,816.493,927.366,760.422,671.121,827.721,822.779,691.955,692.95,773.444,794.394,874.764,779.431,995.561,729.829,872.113
ESW12854,0,0,1,0,1,2,0,1,11,9,2,2,1,1,2,4,0,1
ESW13824,41,13,18,23,32.995,25.013,20,26,26,35,27,33,35,40,43.998,44,25,20
ESW13823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESW14345,268.393,210.955,232.17,251.348,389.815,241.523,187.433,234.006,265.784,140.633,224.42,217.047,157.118,212.476,197.471,316.052,205.086,193.988
ESW14344,208.332,129.884,178.445,109.962,253.298,150.704,115.935,195.138,105.293,140.367,76.608,133.024,161.572,178.347,105.529,188.184,164.059,178.062
